Date,open,close,volume
2000-01-14,102.0,100.44,29872700.0
2000-01-21,101.0,111.31,30213200.0
2000-01-28,108.44,101.62,18470300.0
2000-02-04,101.0,108.0,21289500.0
2000-02-11,108.0,108.75,14859900.0
2000-02-18,109.31,111.25,15664900.0
2000-02-25,110.12,110.37,13580100.0
2000-03-03,110.12,128.0,21508200.0
2000-03-10,126.0,125.75,11429700.0
2000-03-17,122.12,125.0,16600800.0
2000-03-24,123.5,138.69,20591900.0
2000-03-31,137.63,135.81,13759100.0
2000-04-07,135.5,131.75,17398400.0
2000-04-14,131.69,111.87,25827400.0
2000-04-20,109.5,118.87,18238900.0
2000-04-28,115.0,124.06,15878200.0
2000-05-05,124.87,113.12,14607300.0
2000-05-12,112.09,107.62,16551700.0
2000-05-19,108.06,94.0,23499300.0
2000-05-26,93.75,86.37,22673700.0
2000-06-02,87.62,92.56,25386200.0
2000-06-09,93.31,95.75,14973700.0
2000-06-16,96.37,91.19,13137300.0
2000-06-23,90.56,51.69,24381700.0
2000-06-30,52.5,52.38,21464500.0
2000-07-07,52.13,54.44,16235600.0
2000-07-14,54.09,57.69,28876100.0
2000-07-21,58.25,53.56,30323000.0
2000-07-28,52.56,48.31,24413000.0
2000-08-04,49.16,47.38,18892100.0
2000-08-11,47.88,47.69,22025600.0
2000-08-18,47.59,50.0,15635900.0
2000-08-25,50.25,56.81,23095700.0
2000-09-01,57.25,63.44,28355300.0
2000-09-08,62.66,58.88,19054100.0
2000-09-15,58.69,55.23,26829100.0
2000-09-22,55.25,52.19,38582600.0
2000-09-29,52.75,25.75,170178100.0
2000-10-06,26.69,22.19,132403500.0
2000-10-13,22.62,22.06,87962600.0
2000-10-20,22.31,19.5,81324100.0
2000-10-27,20.27,18.56,62251200.0
2000-11-03,19.12,22.25,57267000.0
2000-11-10,22.44,19.06,36011000.0
2000-11-17,18.75,18.5,32298700.0
2000-11-24,18.59,19.31,20562200.0
2000-12-01,19.87,17.06,39560200.0
2000-12-08,17.19,15.06,57223300.0
2000-12-15,15.19,14.06,32873600.0
2000-12-22,14.56,15.0,34822200.0
2000-12-29,14.88,14.88,26389200.0
2001-01-05,14.88,16.37,43234600.0
2001-01-12,16.94,17.19,49473600.0
2001-01-19,17.44,19.5,56261900.0
2001-01-26,19.06,19.56,55151400.0
2001-02-02,19.56,20.62,54923100.0
2001-02-09,20.5,19.12,41730800.0
2001-02-16,19.06,19.0,24922100.0
2001-02-23,19.19,18.81,25553200.0
2001-03-02,19.06,19.25,32140200.0
2001-03-09,19.37,20.25,35348400.0
2001-03-16,19.69,19.62,41281400.0
2001-03-23,19.75,23.0,51692500.0
2001-03-30,23.13,22.07,51363400.0
2001-04-06,22.09,20.59,38691700.0
2001-04-12,20.69,22.42,24231900.0
2001-04-20,22.09,25.04,82827500.0
2001-04-27,24.34,26.2,44681300.0
2001-05-04,26.7,25.75,33449100.0
2001-05-11,25.62,22.85,25158900.0
2001-05-18,22.89,23.53,24281200.0
2001-05-25,23.63,22.76,28311700.0
2001-06-01,22.32,20.89,39143500.0
2001-06-08,21.08,21.32,29369600.0
2001-06-15,21.05,20.44,33236700.0
2001-06-22,20.41,22.26,30821000.0
2001-06-29,22.5,23.25,34826100.0
2001-07-06,23.64,22.03,14246500.0
2001-07-13,22.09,24.85,40585500.0
2001-07-20,24.88,19.98,60164900.0
2001-07-27,20.09,18.96,31015900.0
2001-08-03,19.12,19.5,21797600.0
2001-08-10,19.04,19.02,16642800.0
2001-08-17,19.1,18.07,20763300.0
2001-08-24,18.14,18.57,19989100.0
2001-08-31,18.6,18.55,20945500.0
2001-09-07,18.5,17.28,22008400.0
2001-09-10,17.0,17.37,5515100.0
2001-09-21,16.0,15.73,38216400.0
2001-09-28,16.11,15.51,33037300.0
2001-10-05,15.49,16.14,33409700.0
2001-10-12,15.57,18.01,23424000.0
2001-10-19,17.95,18.3,28332200.0
2001-10-26,18.21,18.67,35451100.0
2001-11-02,18.57,18.57,23212400.0
2001-11-09,18.84,18.71,25200700.0
2001-11-16,18.66,18.97,19482400.0
2001-11-23,19.0,19.84,15549300.0
2001-11-30,19.94,21.3,26545200.0
2001-12-07,21.06,22.54,29868100.0
2001-12-14,22.29,20.39,17065600.0
2001-12-21,20.4,21.0,21001900.0
